Year,Death
1921,1009673
1922,1083952
1923,1174065
1924,1151076
1925,1191809
1926,1257256
1927,1211627
1928,1361987
1929,1369757
1930,1327240
1931,1307273
1932,1293269
1933,1342106
1934,1396903
1935,1392752
1936,1479228
1937,1450427
1938,1381391
1939,1387897
1940,1417269
1941,1397642
1942,1385187
1943,1459544
1944,1411338
1945,1401719
1946,1395617
1947,1445370
1948,1444337
1949,1443607
1950,1452454
1951,1482099
1952,1496838
1953,1517541
1954,1481091
1955,1528717
1956,1564476
1957,1633128
1958,1640550
1959,1679043
1960,1711982
1961,1701522
1962,1756720
1963,1813549
1964,1798051
1965,1828136
1966,1863149
1967,1851323
1968,1930082
1969,1921990
1970,1921031
1971,1927542
1972,1963944
1973,1973003
1974,1934388
1975,1892879
1976,1909440
1977,1899597
1978,1927788
1979,1913841
1980,1989841
1981,1977981
1982,1974797
1983,2019201
1984,2039369
1985,2086440
1986,2105361
1987,2123323
1988,2167999
1989,2150466
1990,2148463
1991,2169518
1992,2175613
1993,2268553
1994,2278994
1995,2312132
1996,2314690
1997,2314245
1998,2337256
1999,2383440
2000,2395550
2001,2408890
2002,2435840
2003,2440970
2004,2390420
2005,2441130
2006,2419870
2007,2417310
2008,2466160
2009,2431200
2010,2463000
2011,2509890
2012,2537900
2013,2591500
2014,2620980
